Installed distributed generation trends

From www.emi.ea.govt.nz provided by the Electricity Authority (New Zealand)
Run at: 20240907174344

Parameters
Date range,01 Sep 2013 - 31 Jul 2024
Region type,Regional council
Market segment,All ICPs
Capacity,All combined
Fuel type,Solar (all)

Month end,Region ID,Region name,Capacity,Fuel type,ICP count,ICP uptake rate (%),Total capacity installed (MW),Avg. capacity installed (kW),ICP count - new installations,Avg. capacity - new installations (kW)
29/02/2016,9,Wellington,All combined,Solar (All),850,0.38642,2.985,3.512,59,3.331
29/02/2016,16,Tasman,All combined,Solar (All),270,1.16636,1.175,4.354,4,2.110
29/02/2016,17,Nelson,All combined,Solar (All),256,1.05051,0.992,3.875,6,3.123
29/02/2016,18,Marlborough,All combined,Solar (All),206,0.82744,1.284,6.232,8,53.075
29/02/2016,12,West Coast,All combined,Solar (All),18,0.09997,0.067,3.711,0,
29/02/2016,13,Canterbury,All combined,Solar (All),1792,0.63524,7.050,3.934,59,3.652
29/02/2016,14,Otago,All combined,Solar (All),613,0.53987,2.398,3.912,18,3.454
29/02/2016,15,Southland,All combined,Solar (All),181,0.34970,0.942,5.203,5,5.116
31/03/2016,1,Northland,All combined,Solar (All),579,0.66175,2.513,4.339,24,3.409
31/03/2016,2,Auckland,All combined,Solar (All),2745,0.46743,10.345,3.769,73,2.986
31/03/2016,3,Waikato,All combined,Solar (All),1168,0.52820,4.180,3.579,41,3.302
31/03/2016,4,Bay of Plenty,All combined,Solar (All),492,0.35886,1.939,3.941,23,3.449
31/03/2016,5,Gisborne,All combined,Solar (All),76,0.42049,0.295,3.885,11,4.909
31/03/2016,6,Hawke's Bay,All combined,Solar (All),456,0.58661,1.897,4.160,19,5.298
31/03/2016,7,Taranaki,All combined,Solar (All),210,0.35872,0.795,3.785,7,2.757
31/03/2016,8,Manawatu-Wanganui,All combined,Solar (All),403,0.34234,1.610,3.996,12,2.983
31/03/2016,9,Wellington,All combined,Solar (All),881,0.40068,3.092,3.510,31,3.456
31/03/2016,16,Tasman,All combined,Solar (All),276,1.19387,1.193,4.323,6,2.967
31/03/2016,17,Nelson,All combined,Solar (All),269,1.10241,1.023,3.803,13,2.400
31/03/2016,18,Marlborough,All combined,Solar (All),214,0.85927,1.308,6.111,8,2.988
31/03/2016,12,West Coast,All combined,Solar (All),21,0.11678,0.076,3.640,3,3.000
31/03/2016,13,Canterbury,All combined,Solar (All),1840,0.65248,7.245,3.937,50,4.092
31/03/2016,14,Otago,All combined,Solar (All),633,0.55690,2.468,3.898,20,3.490
31/03/2016,15,Southland,All combined,Solar (All),181,0.35001,0.942,5.203,0,
30/04/2016,1,Northland,All combined,Solar (All),625,0.71327,2.653,4.246,47,3.117
30/04/2016,2,Auckland,All combined,Solar (All),2816,0.47881,10.571,3.754,71,3.151
30/04/2016,3,Waikato,All combined,Solar (All),1202,0.54290,4.292,3.571,34,3.292
30/04/2016,4,Bay of Plenty,All combined,Solar (All),506,0.36854,1.977,3.907,15,2.927
30/04/2016,5,Gisborne,All combined,Solar (All),82,0.45374,0.311,3.793,6,2.633
30/04/2016,6,Hawke's Bay,All combined,Solar (All),480,0.61756,1.991,4.147,24,3.888
30/04/2016,7,Taranaki,All combined,Solar (All),217,0.37044,0.831,3.830,7,5.200
30/04/2016,8,Manawatu-Wanganui,All combined,Solar (All),418,0.35484,1.655,3.959,15,2.953
30/04/2016,9,Wellington,All combined,Solar (All),912,0.41452,3.196,3.504,31,3.342
30/04/2016,16,Tasman,All combined,Solar (All),278,1.20253,1.204,4.330,2,3.975
30/04/2016,17,Nelson,All combined,Solar (All),275,1.12401,1.039,3.779,6,2.688
30/04/2016,18,Marlborough,All combined,Solar (All),219,0.87821,1.346,6.147,5,7.720
30/04/2016,12,West Coast,All combined,Solar (All),21,0.11665,0.076,3.640,0,
30/04/2016,13,Canterbury,All combined,Solar (All),1909,0.67629,7.549,3.954,69,4.289
30/04/2016,14,Otago,All combined,Solar (All),650,0.57096,2.521,3.878,16,3.194
30/04/2016,15,Southland,All combined,Solar (All),184,0.35600,0.951,5.167,3,3.000
31/05/2016,1,Northland,All combined,Solar (All),676,0.77031,2.833,4.191,52,3.505
31/05/2016,2,Auckland,All combined,Solar (All),2885,0.49003,10.789,3.740,71,3.155
31/05/2016,3,Waikato,All combined,Solar (All),1239,0.55880,4.422,3.569,38,3.444
31/05/2016,4,Bay of Plenty,All combined,Solar (All),516,0.37531,2.010,3.896,10,3.341
31/05/2016,5,Gisborne,All combined,Solar (All),87,0.48157,0.335,3.848,5,4.740
31/05/2016,6,Hawke's Bay,All combined,Solar (All),503,0.64729,2.069,4.114,23,3.414
31/05/2016,7,Taranaki,All combined,Solar (All),221,0.37690,0.847,3.834,4,4.025
31/05/2016,8,Manawatu-Wanganui,All combined,Solar (All),435,0.36908,1.711,3.933,17,3.314
31/05/2016,9,Wellington,All combined,Solar (All),948,0.43076,3.329,3.511,36,3.689
31/05/2016,16,Tasman,All combined,Solar (All),282,1.21893,1.221,4.330,4,4.288
31/05/2016,17,Nelson,All combined,Solar (All),279,1.13850,1.049,3.759,4,2.395
31/05/2016,18,Marlborough,All combined,Solar (All),223,0.89390,1.359,6.094,4,3.200
31/05/2016,12,West Coast,All combined,Solar (All),21,0.11659,0.076,3.640,0,
31/05/2016,13,Canterbury,All combined,Solar (All),1965,0.69493,7.756,3.947,56,3.682
31/05/2016,14,Otago,All combined,Solar (All),695,0.60977,2.671,3.842,45,3.329
31/05/2016,15,Southland,All combined,Solar (All),189,0.36558,0.972,5.142,5,4.200
30/06/2016,1,Northland,All combined,Solar (All),737,0.83954,3.046,4.133,60,3.442
30/06/2016,2,Auckland,All combined,Solar (All),2983,0.50626,11.135,3.733,100,3.109
30/06/2016,3,Waikato,All combined,Solar (All),1265,0.57027,4.499,3.557,24,2.733
30/06/2016,4,Bay of Plenty,All combined,Solar (All),544,0.39531,2.128,3.912,28,4.213
30/06/2016,5,Gisborne,All combined,Solar (All),89,0.49286,0.342,3.845,2,3.750
30/06/2016,6,Hawke's Bay,All combined,Solar (All),523,0.67266,2.138,4.087,20,3.416
30/06/2016,7,Taranaki,All combined,Solar (All),234,0.39913,0.908,3.879,13,4.646
30/06/2016,8,Manawatu-Wanganui,All combined,Solar (All),461,0.39113,1.812,3.931,26,3.888
30/06/2016,9,Wellington,All combined,Solar (All),968,0.43972,3.394,3.507,20,3.293
30/06/2016,16,Tasman,All combined,Solar (All),291,1.25903,1.255,4.312,9,3.761
30/06/2016,17,Nelson,All combined,Solar (All),283,1.15378,1.060,3.747,4,2.913
30/06/2016,18,Marlborough,All combined,Solar (All),225,0.90151,1.364,6.062,2,2.500
30/06/2016,12,West Coast,All combined,Solar (All),22,0.12220,0.080,3.657,1,4.000
